49	34	91	14	6	8	4	3	3	0	1	0	0	0	2	84	42	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
50	17	83	44	21	5	5	4	3	0	3	3	1	1	6	41	62	22	8	0	1	0	0	1	0	0	0	1	14	6	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
59	10	55	36	23	9	5	3	3	4	1	2	0	0	2	16	47	9	1	0	1	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
44	23	66	64	30	9	4	1	1	0	0	0	0	0	0	21	59	6	4	0	0	1	2	0	0	0	0	0	13	10	6	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
46	48	91	55	26	7	3	0	0	0	0	0	0	0	0	23	48	30	8	3	0	0	0	0	0	0	0	0	9	6	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
33	14	68	33	28	11	4	1	2	1	0	0	1	0	0	57	105	34	18	8	2	2	3	4	2	0	1	0	38	15	9	4	5	2	2	1	1	1	2	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	14	38	39	27	3	2	0	1	1	0	0	0	0	0	2	9	12	2	0	0	0	0	0	0	0	0	0	12	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
50	93	112	19	9	7	4	3	2	1	1	0	0	1	1	139	46	17	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
39	18	62	67	44	13	6	4	1	0	0	0	0	0	0	12	51	34	9	5	1	1	1	2	0	1	1	2	29	29	11	6	2	3	0	2	1	0	1	7	5	1	3	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0
41	19	78	17	3	3	2	0	0	0	0	0	0	0	0	78	15	8	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
41	29	21	2	0	0	0	0	0	0	0	0	0	0	0	33	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
43	16	44	46	26	8	1	2	2	0	0	0	0	0	0	22	62	41	14	4	2	0	2	0	1	0	0	0	16	15	7	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
30	8	69	23	13	4	2	0	0	0	0	0	0	0	0	17	59	10	3	2	1	1	0	0	0	0	0	0	17	4	4	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
29	37	46	18	4	3	1	0	0	0	0	1	0	0	0	65	37	13	4	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
63	16	62	60	40	7	3	7	2	1	0	2	1	0	1	10	83	13	8	1	3	0	0	1	0	0	1	2	25	11	2	10	3	2	2	2	1	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
37	11	48	60	29	6	3	6	1	1	1	1	0	0	0	8	68	22	4	5	3	0	4	1	1	0	0	1	40	16	1	0	0	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
